id	scope	kind	command	parser	artifact	direction	threshold	gate
# Columns and legal values: vault/architecture/guard-file-formats.md.
# Empty cells are written `-`, never left blank. No cell may contain a tab.
#
# Two rows, both host-only. This repo is bash and markdown: there is no container, no
# vendor directory and no suite that costs minutes, so both rows run in a detached
# worktree of the pushed commit and VAULT.md leaves guard_measure_worktree at its default.
#
# rule-count is deliberately absent. bin/rule-count.sh --assert already exits 1 on main,
# so a row for it would refuse every push from the day it was written.
comment-density	both	repo	mkdir -p quality-reports && cloc --json --quiet bin lib templates > quality-reports/cloc.json	cloc	quality-reports/cloc.json	down	0.02	refuse
doc-lint	both	diff	mkdir -p quality-reports; { {{files}} | tr '\0' '\n' | grep -E '\.md$' || true; } > quality-reports/md.txt; xargs -r -a quality-reports/md.txt "${VAULT_FRAMEWORK_PATH:-$HOME/workspace/vault}"/bin/doc-lint.sh --quiet || exit 1	exitcode	-	down	0	refuse
